State,Population,Vax_Population,Unvax_Population,7-Day Cases Rate per 100000,7_Day_Daily_Vaccination_Rate,Vaccine_Distribution_By_Unvax_Population,,Vaccine_Distribution_By_Infection_Rate,,Optimal_Distribution,
Alabama,4921532,2474109,2447423,555.1,232.3666696,192,0.826280294,319,1.37283028,319,1.37283028
Alaska,731158,400061,331097,508.2,109.5522445,26,0.237329688,292,2.665394956,292,2.665394956
Arizona,7421401,4172707,3248694,303.1,109.7501671,255,2.323458877,174,1.585418998,174,1.585418998
Arkansas,3030522,1624010,1406512,461.7,168.5848181,110,0.652490546,265,1.571909043,265,1.571909043
California,39368078,27416982,11951096,133.4,142.3462939,940,6.603614147,76,0.533909229,76,0.533909229
Colorado,5807719,3671740,2135979,158.9,148.2337558,168,1.133345095,91,0.61389526,91,0.61389526
Connecticut,3557006,2640590,916416,124.2,131.8524624,72,0.546064887,71,0.538480652,71,0.538480652
Delaware,986809,627891,358918,281.3,115.5238754,28,0.24237414,161,1.393651307,28,0.24237414
District of Columbia,712816,480540,232276,185.6,95.67686472,18,0.188133255,106,1.107895836,18,0.188133255
Florida,21733312,13839624,7893688,501.3,207.1198352,621,2.998264263,288,1.390499368,621,2.998264263
Georgia,10710017,5516935,5193082,600.8,114.0427695,408,3.577605155,345,3.025180829,408,3.577605155
Hawaii,1407006,1057042,349964,438.8,122.8139752,27,0.219844688,252,2.05188375,252,2.05188375
Idaho,1826913,798570,1028343,428.5,106.9016423,80,0.748351459,246,2.301180737,246,2.301180737
Illinois,12587530,8417342,4170188,239.3,115.9163076,328,2.829627743,137,1.181887198,137,1.181887198
Indiana,6754953,3403467,3351486,442.4,110.0525792,263,2.3897668,254,2.307987708,263,2.3897668
Iowa,3163561,1786061,1377500,280.6,97.48508089,108,1.107861829,161,1.651534763,108,1.107861829
Kansas,2913805,1685219,1228586,389.6,131.6491666,96,0.729210845,223,1.693896025,223,1.693896025
Kentucky,4477251,2581482,1895769,559.5,189.51361,149,0.786223216,321,1.693809748,321,1.693809748
Louisiana,4645318,2325433,2319885,367.9,93.10449791,182,1.954792777,211,2.266270747,211,2.266270747
Maine,1350141,968137,382004,202.7,115.3212887,30,0.260142775,116,1.005885395,30,0.260142775
Maryland,6055802,4149088,1906714,137.4,150.6819411,150,0.995474301,78,0.517646637,78,0.517646637
Massachusetts,6893574,5218847,1674727,171,106.9546798,131,1.224817841,98,0.916275942,98,0.916275942
Michigan,9966555,5543452,4423103,162.8,78.51258534,348,4.432410403,93,1.18452347,93,1.18452347
Minnesota,5657342,3505778,2151564,199.1,117.4756626,169,1.438595844,114,0.970413765,114,0.970413765
Mississippi,2966786,1419781,1547005,556.7,171.7009585,121,0.704713596,319,1.8578813,319,1.8578813
Missouri,6151548,3262960,2888588,264.7,149.5070834,227,1.51832271,152,1.016674237,152,1.016674237
Montana,1080577,562607,517970,362.2,107.8127704,40,0.371013562,208,1.929270524,193,1.790140438
Nebraska,1937552,1117695,819857,249.3,93.72651676,64,0.682837709,143,1.525715507,64,0.682837709
Nevada,3138259,1800664,1337595,260.9,139.7590193,105,0.751293194,149,1.066120819,105,0.751293194
New Hampshire,1366275,919871,446404,160.9,89.51345813,35,0.391002657,92,1.027778414,35,0.391002657
New Jersey,8882371,6257106,2625265,157.4,166.1155563,206,1.240100594,90,0.541791522,90,0.541791522
New Mexico,2106319,1480470,625849,280.5,150.4995207,49,0.325582432,161,1.069770849,49,0.325582432
New York,19336776,13236154,6100622,314.9,180.1282696,480,2.66476773,180,0.999287899,180,0.999287899
North Carolina,10600823,5917739,4683084,458.6,169.8358703,368,2.166797858,263,1.548553904,368,2.166797858
North Dakota,765309,371650,393659,356.5,138.3754797,30,0.216801416,204,1.474249632,30,0.216801416
Ohio,11693217,6167187,5526030,329.7,72.999586,434,5.945239196,189,2.589055779,189,2.589055779
Oklahoma,3980783,2136791,1843992,368.8,196.2176788,145,0.738975208,211,1.075336337,211,1.075336337
Oregon,4241507,2720850,1520657,366.8,129.1993624,119,0.921057177,210,1.625395018,210,1.625395018
Pennsylvania,12783254,8945765,3837489,180.7,101.9849875,301,2.951414784,103,1.009952567,103,1.009952567
Rhode Island,1057125,765296,291829,192.7,123.826416,22,0.177668067,110,0.888340336,22,0.177668067
South Carolina,5218040,2692396,2525644,720.8,186.3151681,198,1.062715408,414,2.222041308,414,2.222041308
South Dakota,892717,502941,389776,348,141.0301361,30,0.212720492,200,1.418136616,30,0.212720492
Tennessee,6886834,3430113,3456721,725.5,172.1110165,272,1.580375304,416,2.417044583,416,2.417044583
Texas,29360759,16712108,12648651,441.9,202.2052632,995,4.920742341,253,1.251203831,995,4.920742341
Utah,3249879,1822807,1427072,298,4.000148929,112,,171,,112,
Vermont,623347,476505,146842,140.2,47.64601418,11,0.230869259,80,1.679049158,11,0.230869259
Virginia,8590563,5614437,2976126,276,125.2188011,234,1.86872896,158,1.261791349,158,1.261791349
Washington,7693612,5211706,2481906,321.8,143.9245961,195,1.354876131,184,1.278447221,184,1.278447221
West Virginia,1784787,847140,937647,548.1,48.29707971,73,1.51147855,315,6.522133469,315,6.522133469
Wisconsin,5832655,3442840,2389815,238.4,136.5758818,188,1.376524153,137,1.003105367,137,1.003105367
Wyoming,582328,265857,316471,646,109.5602478,24,0.219057555,371,3.386264702,371,3.386264702
,,,,,,,,,,,
,,,,,,,6.603614147,,6.522133469,,6.522133469